Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""3""","="" 32.716289""","=""""","="""""
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""1""","="" 32.71632""","=""""","="""""
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""0""","="" 32.71632""","=""""","="""""
"=""2s2.2p3.(4S*).5d""","=""3D*""","=""3""","="" 32.740832""","=""""","="""""
"=""2s2.2p3.(4S*).5d""","=""3D*""","=""2""","="" 32.741171""","=""""","="""""
"=""2s2.2p3.(4S*).5d""","=""3D*""","=""1""","="" 32.741457""","=""""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""5""","="" 32.787745""","=""""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""4""","="" 32.787745""","=""""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""2""","="" 32.787758""","=""""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""3""","="" 32.787758""","=""""","="""""
"=""2s2.2p3.(4S*).5f""","=""5F""","=""1""","="" 32.787758""","=""""","="""""
"=""2s2.2p3.(4S*).5f""","=""3F""","=""4""","="" 32.788360""","=""""","="""""
"=""2s2.2p3.(4S*).5f""","=""3F""","=""2""","="" 32.788389""","=""""","="""""
"=""2s2.2p3.(4S*).5f""","=""3F""","=""3""","="" 32.788389""","=""""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""5""","="" 32.792697""","=""""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""2""","="" 32.792697""","=""""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""4""","="" 32.792697""","=""""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""6""","="" 32.792697""","=""""","="""""
"=""2s2.2p3.(4S*).5g""","=""5G*""","=""3""","="" 32.792697""","=""""","="""""
"=""2s2.2p3.(4S*).5g""","=""3G*""","=""3""","="" 32.792706""","=""""","="""""
"=""2s2.2p3.(4S*).5g""","=""3G*""","=""5""","="" 32.792706""","=""""","="""""
"=""2s2.2p3.(4S*).5g""","=""3G*""","=""4""","="" 32.792706""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3F*""","=""2""","="" 32.849947""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3F*""","=""3""","="" 32.850641""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3F*""","=""4""","="" 32.851557""","=""""","="""""
"=""2s2.2p3.(4S*).6s""","=""5S*""","=""2""","="" 32.852003""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""1S*""","=""0""","="" 32.855101""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3G*""","=""5""","="" 32.887508""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3G*""","=""4""","="" 32.888962""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3G*""","=""3""","="" 32.891628""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""1G*""","=""4""","="" 32.894215""","=""""","="""""
"=""2s2.2p3.(4S*).6s""","=""3S*""","=""1""","="" 32.900144""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""3""","="" 32.914372""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""2""","="" 32.917608""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""1""","="" 32.919859""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""1D*""","=""2""","="" 33.013286""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""1S""","=""0""","="" 33.021790""","=""""","="""""
"=""2s2.2p3.(2D*).3d""","=""3S*""","=""1""","="" 33.024505""","=""""","="""""
